revenue,depn,pat,payout,roe,CL,DE,assets,NFA,CA,inventory,receivables,fyear,divdate,dps,returns,PE,PB,EPS,cashEPS,CR,QR,depnNFA,invTO,invTA,margin,ACP,CR_g,QR_g,invTO_g,invTA_g,margin_g,ACP_g,DE_g,payout_g,depnNFA_g,roe_g,dps_g,eps_g,eps_next_cat,returns_next_cat,eps_next_num,returns_next_num,year
25735.8,279.9,3469.8,38.8985,45.8647,5099.1,0.6894,14259.7,2379.3,10565.5,5678.8,1494.8,2018,2018-02-08,35.0,0.11626016260162636,81.50758495934963,30.984263008130075,322.50315691056886,347.8389382113833,2.0720323194289185,0.9583455903983055,0.11763964191148656,0.2206576053590718,0.39824119722013784,0.13482386403375843,21.20011812339232,0.05895750340165162,0.9402021552009061,-0.2366258635908849,-0.25476352271156266,0.09103128458233045,0.029700191730015257,-0.08543380206951445,-0.03269565044400724,0.12352520464736516,0.029700191730015257,0.0,0.34198088953725514,1,1,0.7451670942533483,0.5870967741935489,2018
25735.8,279.9,3469.8,38.8985,45.8647,5099.1,0.6894,14259.7,2379.3,10565.5,5678.8,1494.8,2018,2018-05-25,35.0,0.11626016260162636,81.50758495934963,30.984263008130075,322.50315691056886,347.8389382113833,2.0720323194289185,0.9583455903983055,0.11763964191148656,0.2206576053590718,0.39824119722013784,0.13482386403375843,21.20011812339232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,0.11626016260162636,2018
25735.8,279.9,3469.8,38.8985,45.8647,5099.1,0.6894,14259.7,2379.3,10565.5,5678.8,1494.8,2018,2018-08-09,41.0,0.11626016260162636,81.50758495934963,30.984263008130075,322.50315691056886,347.8389382113833,2.0720323194289185,0.9583455903983055,0.11763964191148656,0.2206576053590718,0.39824119722013784,0.13482386403375843,21.20011812339232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17142857142857149,0.0,1,1,1.0,0.11626016260162636,2018
25735.8,279.9,3469.8,38.8985,45.8647,5099.1,0.6894,14259.7,2379.3,10565.5,5678.8,1494.8,2018,2018-11-14,41.0,0.11626016260162636,81.50758495934963,30.984263008130075,322.50315691056886,347.8389382113833,2.0720323194289185,0.9583455903983055,0.11763964191148656,0.2206576053590718,0.39824119722013784,0.13482386403375843,21.20011812339232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,0.11626016260162636,2018
25735.8,279.9,3469.8,38.8985,45.8647,5099.1,0.6894,14259.7,2379.3,10565.5,5678.8,1494.8,2018,2018-11-15,110.0,0.11626016260162636,81.50758495934963,30.984263008130075,322.50315691056886,347.8389382113833,2.0720323194289185,0.9583455903983055,0.11763964191148656,0.2206576053590718,0.39824119722013784,0.13482386403375843,21.20011812339232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6829268292682928,0.0,1,1,1.0,0.11626016260162636,2018
28915.0,310.6,4028.7,93.5786,49.6674,5356.0,0.7666,13649.0,3006.3,10065.3,7501.1,1255.5,2019,2019-02-14,41.0,0.07078367346938762,60.913975918367285,25.752550204081633,356.99667142857106,389.3957469387768,1.8792569081404031,0.4787528005974606,0.10331636895852044,0.25941898668511154,0.549571397171954,0.13932906795780736,15.84843506830365,-0.09303687470552924,-0.500438249631344,0.17566301992158428,0.3799963464557501,0.03341547845655035,0.08291125854960346,0.11198143313025799,1.405712302530946,-0.12175549602355229,0.08291125854960346,-0.6272727272727272,0.10695558719001119,1,1,0.9033786102823546,0.11626016260162636,2019
28915.0,310.6,4028.7,93.5786,49.6674,5356.0,0.7666,13649.0,3006.3,10065.3,7501.1,1255.5,2019,2019-02-15,70.0,0.07078367346938762,60.913975918367285,25.752550204081633,356.99667142857106,389.3957469387768,1.8792569081404031,0.4787528005974606,0.10331636895852044,0.25941898668511154,0.549571397171954,0.13932906795780736,15.84843506830365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7073170731707317,0.0,1,1,1.0,0.07078367346938762,2019
28915.0,310.6,4028.7,93.5786,49.6674,5356.0,0.7666,13649.0,3006.3,10065.3,7501.1,1255.5,2019,2019-05-24,41.0,0.07078367346938762,60.913975918367285,25.752550204081633,356.99667142857106,389.3957469387768,1.8792569081404031,0.4787528005974606,0.10331636895852044,0.25941898668511154,0.549571397171954,0.13932906795780736,15.84843506830365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41428571428571426,0.0,1,1,1.0,0.07078367346938762,2019
28915.0,310.6,4028.7,93.5786,49.6674,5356.0,0.7666,13649.0,3006.3,10065.3,7501.1,1255.5,2019,2019-08-08,51.0,0.07078367346938762,60.913975918367285,25.752550204081633,356.99667142857106,389.3957469387768,1.8792569081404031,0.4787528005974606,0.10331636895852044,0.25941898668511154,0.549571397171954,0.13932906795780736,15.84843506830365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24390243902439024,0.0,1,1,1.0,0.07078367346938762,2019
28915.0,310.6,4028.7,93.5786,49.6674,5356.0,0.7666,13649.0,3006.3,10065.3,7501.1,1255.5,2019,2019-11-14,52.0,0.07078367346938762,60.913975918367285,25.752550204081633,356.99667142857106,389.3957469387768,1.8792569081404031,0.4787528005974606,0.10331636895852044,0.25941898668511154,0.549571397171954,0.13932906795780736,15.84843506830365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019607843137254832,0.0,1,1,1.0,0.07078367346938762,2019
29702.9,613.6,3558.1,63.3231,44.6199,5581.0,0.8731,15328.3,4055.4,10160.2,7185.6,752.6,2020,2020-02-13,58.0,-0.04924867724867656,77.37196243386245,25.249635449735454,277.54231216931123,330.7290259259265,1.8204981186167355,0.5329869199068268,0.1513044335947132,0.241915772533995,0.4687799690768057,0.11978965016883872,9.248221554124344,-0.03126703393726604,0.11328209305864023,-0.06747082923565006,-0.1470080657597792,-0.14023934901283996,-0.10162601626016254,0.13892512392381962,-0.32331644200704,0.4644768793167622,-0.10162601626016254,0.11538461538461542,-0.22256330553815062,1,0,1.28627836468693,0.07078367346938762,2020
